	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82
B020.realigned	24863.0	22166.0	23146.0	23755.0	20921.0	19220.0	13523.0	7767.0	4566.0	2700.0	1866.0	1285.0	889.0	500.0	243.0	119.0	56.0	19.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65042350.0
	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82
B024.realigned	34098.0	30700.0	32131.0	33340.0	29307.0	26770.0	18622.0	10578.0	6298.0	3732.0	2615.0	1671.0	1206.0	735.0	366.0	145.0	53.0	18.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69814788.0
	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82
B039.realigned	45989.0	41493.0	42871.0	44657.0	38949.0	35370.0	24739.0	14441.0	8945.0	5212.0	3643.0	2389.0	1708.0	1054.0	496.0	201.0	82.0	27.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106081494.0
	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82
B047.realigned	10550.0	9338.0	9691.0	9987.0	8781.0	8078.0	6078.0	3412.0	2089.0	1265.0	879.0	521.0	400.0	209.0	114.0	35.0	19.0	9.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57235186.0
	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82
B049.realigned	34052.0	30155.0	31495.0	32817.0	28827.0	25882.0	18232.0	10581.0	6496.0	3857.0	2716.0	1689.0	1277.0	700.0	398.0	147.0	54.0	17.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76023406.0
	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82
B072.realigned	20080.0	17622.0	18698.0	19108.0	16925.0	15476.0	11136.0	6356.0	3870.0	2285.0	1616.0	1016.0	704.0	403.0	179.0	93.0	48.0	12.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40958316.0
	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82
B124.realigned	10550.0	9164.0	9471.0	9815.0	8645.0	7728.0	5540.0	3320.0	2008.0	1283.0	861.0	511.0	434.0	212.0	109.0	57.0	22.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73447230.0
	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82
B141.realigned	17363.0	15381.0	16036.0	16351.0	14641.0	13285.0	9755.0	5662.0	3414.0	2035.0	1306.0	877.0	677.0	395.0	193.0	75.0	43.0	7.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48348322.0
	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82
