accession,raw_reads,dup_percent,unique_reads
IRIS_313-8003,65756811,9.64250129199343,59416209.6497513
IRIS_313-8025,68074559,9.85523022078203,61365654.4887679
IRIS_313-8031,40908430,9.84748223512821,36879979.6230801
IRIS_313-8066,71235231,9.4091939362981,64532569.9642401
IRIS_313-8170,67464381,8.9248178158323,61443307.905171
IRIS_313-8195,58133824,8.72459306162892,53061884.4248364
IRIS_313-8283,34975417,9.18035314578151,31764550.2051903
IRIS_313-8326,197889096,19.4369362383301,159425518.587872
IRIS_313-8399,37845497,11.114097845117,33639311.4334492
IRIS_313-8656,53790356,12.4259691205893,47106382.9735849
IRIS_313-8665,73334664,11.6104361582443,64820189.654417
IRIS_313-8712,50359672,9.61430460671441,45517939.7349777
IRIS_313-8721,65798844,7.87468689708264,60617391.0531002
IRIS_313-8747,67241720,8.97074825757349,61209634.5747376
IRIS_313-8765,40361056,10.662591166775,36057521.6081269
IRIS_313-8768,85615158,11.1629437876916,76057986.0387167
IRIS_313-8813,65834610,9.19451577202793,59781436.4000969
IRIS_313-8814,41107609,8.82264325250077,37480831.3082971
IRIS_313-9053,29091084,11.4638228301563,25756133.6708681
IRIS_313-9083,40593749,10.3005114614123,36412385.2316381
IRIS_313-9139,45789846,7.84142483387753,42199269.6443617
IRIS_313-9140,40042029,10.1488030911706,35978242.3230806
IRIS_313-9170,62670463,11.7975557019798,55276880.2188864
IRIS_313-9294,152031000,15.1469296931401,129002971.318222
IRIS_313-9348,60250381,8.07681798339773,55384067.3923264
IRIS_313-9368,44920972,7.82508773600412,41405866.5291342
IRIS_313-9392,46163805,10.1228186878298,41490726.7204467
IRIS_313-9422,79877508,8.20954185716272,73319930.5462815
IRIS_313-9449,80703317,8.85047399806862,73560690.9133361
IRIS_313-9522,46858379,8.39396866794662,42925101.3484323
IRIS_313-9572,56043548,7.99923918491335,51560490.5477683
IRIS_313-9616,49448062,12.3488476903189,43341796.1378055
IRIS_313-9641,28374727,9.18575298488577,25768294.6676443
IRIS_313-9648,49837154,10.7235942072727,44492819.8405864
IRIS_313-9682,68414238,12.4744064033696,59879967.9141115
IRIS_313-9759,41787744,11.9196060764603,36806809.5269603
IRIS_313-9789,42287671,8.84210589818875,38548550.3483023
IRIS_313-9886,52370392,9.66182726386853,47310455.1875492
IRIS_313-9926,57523719,9.9983620240982,51772289.324655
